744-,-,-,-,-,-
-0.000921,-0.006436,0.000597,0.003138,-0.004762,-0.000266
-0.004542,-0.037820,0.003120,0.016722,-0.028120,0.000123
-0.009874,-0.109227,0.007671,0.043600,-0.079682,0.004332
-0.013868,-0.213352,0.013021,0.079227,-0.151390,0.016649
-0.017496,-0.324708,0.018001,0.118014,-0.228311,0.043130
-0.022971,-0.416903,0.020189,0.153306,-0.302223,0.085934
-0.025080,-0.475392,0.020731,0.174286,-0.366582,0.136964
-0.015303,-0.503137,0.026751,0.169226,-0.405155,0.182702
0.003870,-0.516158,0.038731,0.135233,-0.398349,0.209257
0.017516,-0.527838,0.049747,0.084952,-0.345443,0.209628
0.013421,-0.540039,0.057113,0.039653,-0.271320,0.191615
-0.006932,-0.547897,0.061604,0.014588,-0.208087,0.172594
-0.032115,-0.547203,0.063070,0.010916,-0.174355,0.166318
-0.050627,-0.537710,0.060968,0.018964,-0.169193,0.174340
-0.057149,-0.523086,0.055639,0.027191,-0.179837,0.188928
-0.053119,-0.509843,0.048385,0.029643,-0.192783,0.200693
-0.042895,-0.502441,0.041043,0.027141,-0.199094,0.202185
-0.030224,-0.499107,0.035514,0.022819,-0.194398,0.191296
-0.018867,-0.495860,0.032856,0.018698,-0.178226,0.173928
-0.013614,-0.491827,0.033458,0.015968,-0.154685,0.160615
-0.017307,-0.488970,0.036522,0.015324,-0.132109,0.160458
-0.026589,-0.489951,0.039770,0.016080,-0.117032,0.174822
-0.034751,-0.496723,0.042891,0.016158,-0.106825,0.192807
-0.040073,-0.508478,0.047603,0.014092,-0.092400,0.196612
-0.046309,-0.520427,0.052816,0.010388,-0.068336,0.174690
-0.056330,-0.526204,0.055603,0.006438,-0.037722,0.130670
-0.069495,-0.522321,0.055665,0.002801,-0.009326,0.080810
-0.082175,-0.510759,0.055015,-0.001098,0.008576,0.042315
-0.088939,-0.497177,0.055193,-0.005916,0.014002,0.023004
-0.085251,-0.486508,0.056546,-0.011884,0.012375,0.019967
-0.070942,-0.480469,0.058851,-0.019043,0.012443,0.025638
-0.052588,-0.478480,0.062104,-0.026986,0.020068,0.034595
-0.041458,-0.480234,0.067067,-0.033762,0.032151,0.046905
-0.045482,-0.487149,0.073160,-0.035145,0.036605,0.066576
-0.061784,-0.500609,0.077444,-0.027217,0.022846,0.093912
-0.078880,-0.517432,0.077445,-0.011075,-0.007268,0.120969
-0.086638,-0.529980,0.072637,0.007111,-0.040395,0.139133
-0.084130,-0.533556,0.065939,0.022354,-0.061713,0.149323
-0.080239,-0.528904,0.063391,0.034105,-0.064683,0.158541
-0.086095,-0.517330,0.067379,0.041598,-0.054569,0.164927
-0.103846,-0.499750,0.073897,0.042071,-0.043837,0.158150
-0.123506,-0.479267,0.077798,0.034525,-0.042293,0.134322
-0.131392,-0.463529,0.073537,0.021144,-0.049102,0.101605
-0.122255,-0.462722,0.058664,0.008196,-0.054594,0.073519
-0.103430,-0.474840,0.044080,0.002729,-0.049925,0.054693
-0.085868,-0.482934,0.042787,0.002949,-0.034078,0.042096
