-0-,-,-,-,-,-
-0.008862,-0.001986,0.003595,-0.002777,-0.000273,-0.004732
-0.050067,-0.012912,0.018734,-0.019210,0.007458,-0.029459
-0.137250,-0.037470,0.046358,-0.064687,0.050238,-0.090946
-0.252522,-0.067068,0.078404,-0.145118,0.148244,-0.189057
-0.359748,-0.085216,0.106115,-0.252767,0.281377,-0.294955
-0.428114,-0.080159,0.118795,-0.379288,0.407146,-0.358841
-0.443862,-0.059126,0.116069,-0.509291,0.492836,-0.340522
-0.412312,-0.049635,0.115959,-0.592218,0.516822,-0.226518
-0.359668,-0.069436,0.125946,-0.569055,0.471945,-0.024938
-0.321425,-0.112584,0.132958,-0.439793,0.381321,0.228177
-0.317525,-0.166064,0.127741,-0.268256,0.286304,0.471057
-0.343164,-0.218143,0.112013,-0.125717,0.216611,0.650411
-0.379581,-0.259091,0.090050,-0.047494,0.182869,0.748886
-0.409176,-0.283362,0.066024,-0.030902,0.183710,0.779950
-0.425139,-0.292647,0.043331,-0.053061,0.208410,0.769237
-0.433222,-0.293528,0.024613,-0.084773,0.239546,0.741558
-0.445011,-0.286705,0.014082,-0.100700,0.262043,0.713268
-0.467257,-0.264186,0.016514,-0.089064,0.269691,0.692661
-0.498426,-0.221144,0.033294,-0.052177,0.262123,0.691044
-0.534789,-0.167436,0.059076,0.002897,0.241764,0.722877
-0.575596,-0.122655,0.081828,0.069237,0.211797,0.788626
-0.619014,-0.098998,0.091337,0.135697,0.175169,0.868326
-0.657616,-0.094758,0.086014,0.183859,0.141829,0.933635
-0.683787,-0.102587,0.069889,0.193116,0.131926,0.959114
-0.694412,-0.115581,0.047839,0.152620,0.164824,0.926466
-0.687375,-0.126284,0.024225,0.068370,0.242226,0.831709
-0.660862,-0.125271,0.005095,-0.044258,0.342630,0.691660
-0.618810,-0.103396,0.000308,-0.168514,0.441136,0.537966
-0.568388,-0.060783,0.022356,-0.278713,0.528734,0.401847
-0.508530,-0.011238,0.076245,-0.333930,0.609973,0.303858
-0.436149,0.032532,0.143007,-0.305200,0.695368,0.256484
-0.367217,0.066953,0.187149,-0.209880,0.779153,0.264384
-0.329328,0.087441,0.185724,-0.098436,0.824738,0.315275
-0.333416,0.088632,0.138839,-0.011272,0.805193,0.380370
-0.368792,0.070789,0.065315,0.038087,0.735776,0.433217
-0.418024,0.039330,-0.010107,0.049964,0.650016,0.461878
-0.467434,0.000286,-0.066587,0.024242,0.580411,0.457537
-0.508964,-0.041988,-0.086537,-0.038317,0.543325,0.406431
-0.538666,-0.076416,-0.083269,-0.114046,0.514163,0.302781
-0.553339,-0.085527,-0.098655,-0.162543,0.457772,0.162521
-0.553045,-0.060775,-0.134388,-0.170066,0.376809,0.015545
-0.543618,-0.010179,-0.149414,-0.154745,0.297193,-0.110245
-0.528762,0.046392,-0.129814,-0.134653,0.233445,-0.193588
-0.509545,0.089839,-0.098970,-0.116090,0.185731,-0.223047
-0.491124,0.111362,-0.078302,-0.100953,0.153471,-0.201558
-0.483183,0.112190,-0.074259,-0.089413,0.137267,-0.146245
-0.493099,0.101278,-0.086812,-0.080339,0.133275,-0.084336
-0.517095,0.089493,-0.114708,-0.072706,0.134864,-0.041744
-0.541168,0.084061,-0.153967,-0.060919,0.137640,-0.035500
-0.554006,0.090240,-0.191385,-0.034514,0.140407,-0.070013
-0.557594,0.110703,-0.206662,0.004062,0.138659,-0.119889
-0.561136,0.141634,-0.190776,0.033770,0.121581,-0.139440
-0.570665,0.171763,-0.156033,0.037986,0.082490,-0.109515
-0.586774,0.188275,-0.122656,0.018743,0.028521,-0.050995
-0.604742,0.187124,-0.101761,-0.011182,-0.025149,0.002433
-0.616050,0.173764,-0.091480,-0.039836,-0.067895,0.027439
-0.612096,0.156086,-0.083117,-0.063438,-0.099245,0.022148
-0.589348,0.138944,-0.071621,-0.086876,-0.125926,0.005947
-0.550921,0.122704,-0.058698,-0.124297,-0.155945,-0.000073
-0.502187,0.104049,-0.053613,-0.194651,-0.193328,0.006177
-0.449568,0.077823,-0.071085,-0.290634,-0.231586,0.016262
-0.402772,0.045270,-0.106625,-0.368622,-0.256784,0.029273
-0.370210,0.015685,-0.134757,-0.393364,-0.262768,0.046749
-0.351869,-0.003555,-0.141227,-0.366288,-0.256305,0.062746
-0.340514,-0.010869,-0.130526,-0.310302,-0.248176,0.069417
-0.328613,-0.008446,-0.114926,-0.250494,-0.243720,0.064417
-0.313628,-0.000899,-0.106323,-0.201904,-0.239110,0.048890
-0.296526,0.004740,-0.108905,-0.164390,-0.225557,0.022636
-0.276498,0.001237,-0.119964,-0.129688,-0.196211,-0.015484
-0.253735,-0.013020,-0.135467,-0.091944,-0.148138,-0.065370
-0.233669,-0.032641,-0.151589,-0.051143,-0.083888,-0.126672
-0.220623,-0.048516,-0.165842,-0.011773,-0.012294,-0.197313
-0.215123,-0.055918,-0.177862,0.021812,0.056677,-0.269516
-0.219365,-0.060332,-0.187483,0.050164,0.116907,-0.331282
-0.235927,-0.053427,-0.206765,0.055719,0.177178,-0.384385
-0.266240,-0.024195,-0.271096,-0.017963,0.268821,-0.458320
-0.306531,0.006249,-0.370643,-0.207709,0.404982,-0.550728
-0.341095,0.038645,-0.407049,-0.444047,0.519319,-0.579525
-0.355040,0.091626,-0.329735,-0.585246,0.528017,-0.470941
-0.354733,0.136261,-0.205767,-0.563625,0.453515,-0.242597
-0.362722,0.137357,-0.106192,-0.428648,0.363670,0.015951
-0.380138,0.096315,-0.052854,-0.271787,0.273944,0.205888
-0.394242,0.033593,-0.040431,-0.173864,0.186515,0.284103
-0.421107,-0.030253,-0.049269,-0.159782,0.101675,0.271492
-0.467416,-0.079926,-0.068232,-0.192081,0.020755,0.208271
-0.504052,-0.107495,-0.097348,-0.223185,-0.026247,0.125062
-0.515689,-0.116098,-0.127651,-0.227161,-0.020409,0.043854
-0.509686,-0.113260,-0.146776,-0.204052,0.018225,-0.019683
-0.492869,-0.103930,-0.154620,-0.173238,0.058682,-0.057295
-0.471404,-0.091624,-0.157715,-0.153720,0.079380,-0.068375
-0.452272,-0.079554,-0.160273,-0.151235,0.074837,-0.060121
-0.439264,-0.069505,-0.164172,-0.160178,0.055144,-0.043477
-0.431864,-0.061650,-0.170346,-0.168815,0.034584,-0.026639
-0.427498,-0.055326,-0.177887,-0.165865,0.021503,-0.011724
-0.425204,-0.050926,-0.184557,-0.147096,0.016742,0.002516
-0.426391,-0.051336,-0.189477,-0.115606,0.016771,0.016907
-0.432003,-0.058809,-0.192373,-0.077099,0.018478,0.031407
-0.441708,-0.072718,-0.191733,-0.037606,0.022421,0.045489
-0.453394,-0.089165,-0.187401,-0.003907,0.029370,0.058707
-0.461671,-0.099847,-0.181855,0.018548,0.035877,0.070853
-0.464089,-0.100190,-0.176912,0.028409,0.037005,0.080307
-0.464403,-0.095363,-0.172786,0.028446,0.032867,0.085090
-0.463465,-0.090195,-0.170819,0.024033,0.029971,0.086953
-0.457658,-0.082624,-0.172538,0.020649,0.033970,0.090580
-0.448744,-0.073652,-0.175531,0.020620,0.043784,0.098267
-0.447002,-0.075645,-0.174928,0.021121,0.054579,0.109214
